Continent,Country,%GDP Agriculture,%GDP Industry,%GDP Services,Children Per Women,Cumulative CO2 Emissions,Democracy Score,Energy Use Total,Extreme Poverty headcount ratio at $1.25 a day (PPP) (% of population),GDP Per Capital,GDP Total,HDI,Life Expectancy,Murders Total Deaths,Population Density,Population Total,Poverty headcount ratio at $2 a day (PPP) (% of population),Working Hours per Week
asia,vietnam,20.3596,41.4809,38.1831,1.877,1.68984205E9,-7.0,4.577706E7,NaN,623.9575,5.2550386E10,0.575,75.067,3165.0,256.287,8.5007448E7,NaN,NaN
asia,yemen,10.3832,NaN,NaN,NaN,4.25678016E8,NaN,7140440.0,NaN,575.2494,1.26249923E10,0.438,NaN,NaN,41.569,NaN,NaN,NaN
europe,albania,21.1173,19.6648,59.218,1.796,2.27322336E8,9.0,2050135.0,NaN,1681.6139,5.330153E9,0.729,76.278,208.0,110.257,3169665.0,NaN,NaN
europe,andorra,NaN,NaN,NaN,NaN,6629333.5,NaN,NaN,NaN,21495.805,1.74954355E9,NaN,NaN,1.0,173.91,81390.0,NaN,NaN
europe,armenia,20.2821,43.9088,35.8091,1.4,5.6686668E7,5.0,2845324.0,3.46,1424.1906,4.3782195E9,0.715,73.92,100.0,103.16,3074181.0,20.51,NaN
europe,austria,1.7462,29.8614,68.3925,1.379,4.5676252E9,10.0,3.3389496E7,NaN,27036.486,2.24424149E11,0.87,80.3,63.0,99.094,8309783.0,NaN,NaN
europe,azerbaijan,7.0022,68.4945,24.5034,1.989,5.7437235E8,-7.0,1.211646E7,NaN,1945.6375,1.66960998E10,NaN,69.841,235.0,101.859,8821012.0,NaN,NaN
europe,belarus,9.3434,42.1746,48.4819,1.386,9.7436531E8,-7.0,2.8057752E7,0.13,2253.464,2.18631086E10,0.738,70.41,1007.0,46.86,9728228.0,0.25,NaN
europe,belgium,0.8814,23.7167,75.4008,1.801,1.0990166E10,8.0,5.7025136E7,NaN,25034.666,2.66243703E11,0.88,79.49,164.0,345.216,1.0538758E7,NaN,NaN
europe,bosnia and herzegovina,8.8014,28.587,62.6116,1.207,2.64135664E8,NaN,5304575.0,0.04,2105.578,7.9570509E9,0.725,75.471,73.0,73.814,3779034.0,0.19,NaN
europe,bulgaria,5.5837,32.247,62.1693,1.4,3.21699405E9,9.0,2.0115636E7,NaN,2494.3528,1.91014584E10,0.758,72.95,235.0,68.886,7640283.0,0.41,NaN
europe,croatia,4.8748,27.4871,67.6382,1.413,3.2555968E8,9.0,9305929.0,NaN,6651.7417,2.95071252E10,0.791,75.93,85.0,78.284,4425995.0,NaN,NaN
europe,cyprus,2.2153,18.968,78.8167,1.503,1.91726336E8,10.0,2437076.0,NaN,15248.865,1.19547597E10,0.819,78.904,2.0,114.909,1063027.0,NaN,NaN
europe,czech republic,NaN,NaN,NaN,NaN,1.99573363E9,NaN,4.5845188E7,NaN,7868.3164,8.131235E10,0.861,NaN,NaN,130.773,NaN,NaN,NaN
europe,denmark,1.1769,25.6355,73.1876,1.8464,3.52353843E9,10.0,1.976228E7,NaN,32767.404,1.7895714E11,0.89,78.44,52.0,126.912,5469130.0,NaN,NaN
europe,estonia,NaN,30.0462,66.5774,1.598,2.84166656E8,9.0,5623844.0,NaN,7072.436,9.4889288E9,0.834,73.14,120.0,29.775,1342873.0,NaN,NaN
europe,finland,3.0067,33.7507,63.2426,1.83,2.47549133E9,10.0,3.6795024E7,NaN,28839.223,1.52522572E11,0.881,79.53,134.0,15.645,5290431.0,NaN,NaN
europe,france,2.2177,20.6166,77.1657,1.964,3.36460411E10,9.0,2.63483088E8,NaN,23516.223,1.50532168E12,0.877,81.14,501.0,111.958,6.1744596E7,NaN,NaN
europe,georgia,10.6955,24.3088,64.9957,1.758,8.8678336E7,6.0,3341325.0,15.19,1219.4482,5.3514271E9,0.724,73.45,166.0,63.357,4415956.0,34.92,NaN
europe,germany,0.9619,30.482,68.5561,1.361,8.1411858E10,10.0,3.31169024E8,NaN,25297.385,2.08112412E12,0.901,79.8833,570.0,231.124,8.2516296E7,NaN,NaN
europe,greece,NaN,19.2256,NaN,1.431,2.80608538E9,10.0,3.0216692E7,NaN,14801.555,1.64856611E11,0.86,79.735,97.0,85.298,1.1255717E7,NaN,NaN
europe,hungary,4.0244,30.1911,65.7845,1.32,4.3311805E9,10.0,2.6728592E7,0.17,5884.141,5.9169628E10,0.809,73.45,222.0,107.948,1.0042572E7,0.35,NaN
europe,iceland,5.6949,25.8099,68.4952,2.105,9.4765E7,NaN,4836174.0,NaN,38185.332,1.18972518E10,0.899,81.31,3.0,2.968,305721.0,NaN,NaN
europe,ireland,1.4262,33.5429,65.0309,1.999,1.66460429E9,10.0,1.508882E7,NaN,31543.602,1.37432138E11,0.909,79.655,30.0,61.066,4291258.0,NaN,NaN
europe,italy,2.0461,27.3472,70.6067,1.367,1.94830541E10,10.0,1.79598608E8,NaN,20291.227,1.20479744E12,0.869,81.111,559.0,197.45,5.9495244E7,NaN,NaN
europe,latvia,3.5804,23.254,73.1656,1.467,1.36498992E8,8.0,4669844.0,0.21,6296.227,1.43308421E10,0.8,70.77,236.0,35.32,2281693.0,0.47,NaN
europe,liechtenstein,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82308.44,2.90268928E9,NaN,NaN,NaN,220.413,35266.0,NaN,NaN
europe,lithuania,3.9405,32.5982,63.4614,1.386,2.42150336E8,10.0,9452750.0,NaN,5839.1455,1.97107241E10,0.803,71.39,313.0,51.746,3379043.0,NaN,NaN
europe,luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
europe,macedonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
europe,malta,2.3874,38.1735,59.3678,1.375,7.2669664E7,NaN,877123.0,NaN,10781.05,4.4099886E9,0.826,78.695,3.0,1305.722,412608.0,NaN,NaN
europe,moldova,12.0098,14.7769,73.2133,1.488,1.23900336E8,8.0,2935890.0,0.92,547.6738,1.95897651E9,0.638,68.195,320.0,108.462,3671540.0,6.61,NaN
europe,monaco,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98397.09,3.47292518E9,NaN,NaN,NaN,23687.92,35295.0,NaN,NaN
europe,montenegro,9.1084,20.8728,70.0188,1.734,7927333.5,9.0,775129.0,0.15,2164.6116,1.35929382E9,0.767,74.002,NaN,45.465,627962.0,0.45,NaN
europe,netherlands,2.0778,24.6843,73.2379,1.718,9.6103813E9,10.0,7.9349592E7,NaN,26968.617,4.41791709E11,0.902,79.824,200.0,395.961,1.6443483E7,NaN,NaN
europe,norway,1.3401,41.7438,56.9161,1.9,1.99128973E9,10.0,2.7545596E7,NaN,41904.21,1.97333336E11,0.942,80.61,38.0,12.26,4722016.0,NaN,NaN
europe,poland,4.3279,31.637,64.0351,1.313,2.34108498E10,10.0,9.6823688E7,0.07,5932.4746,2.26149253E11,0.8,75.517,617.0,118.143,3.818976E7,0.29,NaN
europe,portugal,2.4508,24.7647,72.7845,1.374,1.90210163E9,10.0,2.5301558E7,NaN,11965.997,1.269393E11,0.798,79.12,179.0,115.327,1.0608036E7,NaN,NaN
europe,romania,8.7766,35.3003,55.9231,1.325,7.2155418E9,9.0,3.969794E7,0.79,2595.5962,5.5926981E10,0.767,72.916,708.0,90.796,2.1644886E7,3.56,NaN
europe,san marino,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31590.457,9.7952531E8,NaN,NaN,NaN,508.311,31007.0,NaN,NaN
europe,serbia,10.3367,28.2819,61.3814,1.424,1.05809E8,8.0,1.6642753E7,0.23,1166.9476,8.6139156E9,0.754,73.199,NaN,111.282,9832994.0,0.59,NaN
europe,slovakia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
europe,slovenia,2.5075,34.5964,62.8961,1.401,2.38776992E8,10.0,7320629.0,NaN,13377.915,2.69982659E10,0.868,78.152,41.0,99.346,2012345.0,NaN,NaN
europe,spain,2.8754,29.182,67.939,1.397,1.10480036E10,10.0,1.43829024E8,NaN,16351.111,7.3382062E11,0.866,80.745,600.0,88.152,4.4604384E7,NaN,NaN
europe,sweden,1.7146,28.2198,70.0656,1.892,4.3206461E9,10.0,5.00596E7,NaN,33259.26,3.0425881E11,0.899,81.08,111.0,20.36,9161374.0,NaN,NaN
europe,switzerland,1.2092,27.5913,71.1995,1.457,2.44254259E9,10.0,2.576534E7,NaN,38983.875,2.86450319E11,0.893,81.94,68.0,182.192,7521613.0,NaN,NaN
europe,ukraine,7.4605,36.7341,55.8054,1.347,6.1470787E9,7.0,1.37343648E8,0.06,1125.9597,5.2367655E10,0.725,68.17,5653.0,76.664,4.628216E7,0.21,NaN
europe,united kingdom,0.6888,23.0029,76.3083,1.841,7.2915263E10,10.0,2.1096784E8,NaN,29771.303,1.80690695E12,0.856,79.344,1210.0,250.704,6.08961E7,NaN,NaN
europe,vatican city,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
america,antigua and barbuda,1.9391,20.9678,77.1317,2.183,1.6661333E7,NaN,146000.0,NaN,13495.128,1.00935405E9,NaN,74.91,6.0,194.423,85935.0,NaN,NaN
america,bahamas,2.3267,13.4177,84.2556,1.876,1.40473664E8,NaN,709000.0,NaN,21721.62,7.1433933E9,0.77,74.216,72.0,23.697,328861.0,NaN,NaN
america,barbados,2.8044,23.1802,74.0154,1.827,3.7755668E7,NaN,401000.0,NaN,9783.984,2.6575063E9,0.791,74.368,44.0,631.67,271618.0,NaN,NaN
america,belize,12.2714,21.4835,66.2451,2.971,1.2448333E7,NaN,178000.0,NaN,3680.9165,1.14704998E9,0.692,72.523,63.0,12.763,293124.0,NaN,NaN
america,canada,1.6864,31.5455,66.7681,1.657,2.56130683E10,10.0,2.717312E8,NaN,26229.742,8.6373846E11,0.9,80.592,446.0,3.307,3.2977334E7,NaN,NaN
america,costa rica,8.4826,29.2679,62.2495,1.953,1.56273328E8,10.0,4510028.0,2.16,5137.4854,2.28752077E10,0.735,78.728,279.0,87.135,4452608.0,NaN,NaN
america,cuba,4.9704,20.4941,74.5355,1.52,1.31316531E9,-7.0,1.0137385E7,NaN,4165.6006,4.6940848E10,0.759,78.154,680.0,101.647,1.1268687E7,NaN,NaN
america,dominica,12.826,16.314,70.86,NaN,2548333.2,NaN,43000.0,NaN,5596.624,3.87615136E8,0.719,NaN,7.0,91.124,68434.0,NaN,NaN
america,dominican republic,6.5713,NaN,NaN,NaN,4.67404672E8,NaN,8348166.0,3.83,3594.0732,3.42585405E10,0.672,NaN,NaN,196.491,NaN,11.47,NaN
america,el salvador,11.8659,28.4068,59.7273,2.35,1.51418672E8,7.0,4452025.0,6.58,2609.0898,1.59177134E10,0.668,71.184,2561.0,289.951,6100868.0,13.4,NaN
america,grenada,4.0656,21.8734,74.0312,2.301,4755666.5,NaN,81000.0,NaN,6443.536,6.0422278E8,NaN,71.884,5.0,300.488,103368.0,NaN,NaN
america,guatemala,12.406,29.7255,57.8685,4.199,2.57873008E8,8.0,8527419.0,NaN,1877.7515,2.5084586E10,0.565,70.215,5101.0,122.683,1.3358842E7,NaN,NaN
america,haiti,NaN,NaN,NaN,3.58,4.4289668E7,5.0,2777133.0,NaN,392.0942,3.76770586E9,0.443,60.378,482.0,346.251,9608453.0,NaN,NaN
america,honduras,13.0074,28.5642,58.4285,3.34,1.40294E8,7.0,4691687.0,16.26,1409.979,1.00937851E10,0.613,71.957,1384.0,63.868,7158819.0,29.73,NaN
america,jamaica,5.3171,25.3384,69.3445,2.414,3.54082656E8,9.0,4687212.0,NaN,NaN,1.02970378E10,0.717,72.069,899.0,246.478,2709042.0,NaN,NaN
america,mexico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
america,nicaragua,18.2833,29.029,52.6877,2.759,1.14125E8,9.0,3077817.0,NaN,1172.8601,4.9628995E9,0.577,72.746,821.0,42.797,5563654.0,NaN,NaN
america,panama,5.9509,16.5087,76.8324,2.637,1.76484E8,9.0,3001224.0,NaN,5210.719,1.7459415E10,0.752,76.326,388.0,44.37,3350673.0,NaN,NaN
america,saint kitts and nevis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
america,saint lucia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
america,saint vincent and the grenadines,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
america,trinidad and tobago,0.3723,59.7595,39.8681,1.788,9.1337402E8,10.0,2.017973E7,NaN,10714.744,1.42042368E10,0.752,69.2,181.0,258.416,1325672.0,NaN,NaN
america,united states,1.1302,21.923,76.9482,2.122,3.38848317E11,10.0,2.33701376E9,NaN,38710.887,1.16609264E13,0.905,77.9,17647.0,31.393,3.02284576E8,NaN,NaN
oceania,australia,2.3673,20.2806,77.3521,1.92,1.33517855E10,10.0,1.19755168E8,NaN,24765.549,5.22729685E11,0.922,81.67,253.0,2.728,2.1119988E7,NaN,NaN
oceania,fiji,13.9062,18.1167,67.9771,2.774,3.4536332E7,-4.0,524000.0,NaN,2295.4382,1.91713971E9,0.681,68.733,6.0,45.708,835267.0,NaN,NaN
oceania,kiribati,27.2599,8.0031,64.7369,3.186,1162333.4,NaN,11000.0,NaN,773.0188,7.6008008E7,NaN,66.97,6.0,130.913,95043.0,NaN,NaN
oceania,marshall islands,NaN,NaN,NaN,NaN,1305333.4,NaN,32000.0,NaN,2464.9907,1.29379968E8,NaN,NaN,1.0,289.983,52487.0,NaN,NaN
oceania,micronesia,NaN,NaN,NaN,3.661,502333.34,NaN,NaN,NaN,2134.369,2.35138832E8,0.637,68.257,1.0,156.826,110092.0,NaN,NaN
oceania,nauru,NaN,NaN,NaN,NaN,4957333.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,483.524,10154.0,NaN,NaN
oceania,new zealand,NaN,NaN,NaN,2.11,1.39701466E9,10.0,1.712388E7,NaN,15392.503,6.5084121E10,0.903,80.145,55.0,15.645,4232461.0,NaN,NaN
oceania,palau,3.4979,20.7038,75.7982,NaN,2379666.8,NaN,NaN,NaN,6519.924,1.34595328E8,0.793,NaN,NaN,43.83,20118.0,NaN,NaN
oceania,papua new guinea,36.0058,44.7574,19.2367,4.122,9.3236E7,4.0,NaN,NaN,656.3571,4.19826176E9,0.447,61.296,900.0,13.82,6396307.0,NaN,NaN
oceania,samoa,12.182,31.1565,56.6615,4.45,4513666.5,NaN,58000.0,NaN,1798.3857,3.4101136E8,0.684,71.415,2.0,64.033,181277.0,NaN,NaN
oceania,solomon islands,44.3441,5.8608,49.795,4.412,5408333.5,8.0,64000.0,NaN,1092.9396,5.4263354E8,0.515,66.231,7.0,17.182,496490.0,NaN,NaN
oceania,tonga,20.8882,18.7205,60.3913,4.059,3300000.0,NaN,58000.0,NaN,1969.0042,2.06383104E8,0.698,71.774,1.0,157.314,102254.0,NaN,NaN
oceania,tuvalu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1540.3903,1.6503167E7,NaN,NaN,NaN,375.462,9762.0,NaN,NaN
oceania,vanuatu,20.4861,7.9318,71.5821,3.679,2959000.0,NaN,35000.0,NaN,1472.1956,3.27382432E8,NaN,69.848,2.0,18.244,222377.0,NaN,NaN
america,argentina,9.3949,33.7362,56.8689,2.254,6.0112691E9,8.0,7.3672984E7,2.71,9388.688,3.6961452E11,0.78,75.225,2596.0,14.159,3.9368064E7,5.46,NaN
america,bolivia,12.8774,36.3893,50.7333,3.551,2.88570336E8,8.0,5370954.0,13.06,1132.2139,1.07147028E10,0.645,65.404,335.0,8.614,9463497.0,24.66,NaN
america,brazil,5.5627,27.8112,66.6261,1.944,9.8636851E9,8.0,2.35355712E8,7.13,4297.8237,8.1570339E11,0.7,72.298,57250.0,22.292,1.89798064E8,13.19,NaN
america,chile,3.9133,48.8772,47.2063,1.903,1.88879539E9,10.0,3.0564974E7,NaN,6410.8066,1.01465571E11,0.789,78.452,861.0,21.983,1.6633254E7,NaN,NaN
america,colombia,7.9374,33.8057,58.2569,2.454,2.33558963E9,7.0,2.791906E7,8.84,3068.4773,1.36743821E11,0.691,72.775,36619.0,38.943,4.4352328E7,NaN,NaN
america,ecuador,6.9581,38.7587,54.2832,2.768,7.1845766E8,5.0,1.1332313E7,7.23,1618.868,2.24208712E10,0.702,74.973,3042.0,48.842,1.3849721E7,14.43,NaN
america,guyana,24.407,29.9614,45.6316,2.754,7.1041664E7,6.0,500000.0,NaN,1107.352,8.3058925E8,0.619,65.047,168.0,3.489,750068.0,NaN,NaN
america,paraguay,22.0014,19.9769,58.0216,3.123,9.9392336E7,8.0,4224895.0,8.77,1450.1846,8.9377444E9,0.643,71.668,994.0,15.044,6119295.0,15.95,NaN
america,peru,7.0067,37.0615,55.9318,2.614,1.18313062E9,9.0,1.4334054E7,7.94,2725.8152,7.677576E10,0.704,73.018,835.0,21.915,2.8166078E7,18.2,NaN
america,suriname,11.264,40.9948,54.031,2.441,8.8788336E7,5.0,714000.0,NaN,2520.5867,1.28584205E9,0.668,69.424,56.0,3.114,510136.0,NaN,NaN
america,uruguay,10.1888,27.1799,62.6313,2.122,2.81093984E8,10.0,3172144.0,0.48,7685.2246,2.55449641E10,0.764,76.275,161.0,19.058,3335528.0,2.92,NaN
america,venezuela,4.1942,54.2016,41.6042,2.562,5.7185736E9,5.0,6.3511004E7,NaN,5777.6284,1.58786568E11,0.72,73.628,10295.0,30.254,2.7593428E7,NaN,NaN
